timestamp,cash,positions_value,total_value
2026-03-12 12:21:37.565526+00:00,8900.0,1089.372563406209,9989.372563406208
2026-03-12 12:22:37.589399+00:00,8900.0,1087.751268545116,9987.751268545117
2026-03-12 12:22:59.591048+00:00,8900.0,1087.4782620315962,9987.478262031596
2026-03-12 12:23:27.564990+00:00,8900.0,1088.011220282163,9988.011220282164
2026-03-12 12:23:47.263042+00:00,8900.0,1088.011220282163,9988.011220282164
2026-03-12 12:24:37.594173+00:00,8900.0,1087.169676490876,9987.169676490876
2026-03-12 12:25:38.968845+00:00,8900.0,1087.4165213807826,9987.416521380785
2026-03-12 12:26:37.591679+00:00,8900.0,1087.121042687203,9987.121042687202
2026-03-12 12:27:42.496146+00:00,8900.0,1087.8260571863964,9987.826057186396
2026-03-12 12:28:37.574077+00:00,8900.0,1087.6895278943025,9987.689527894305
2026-03-12 12:29:37.600928+00:00,8900.0,1088.1963245212564,9988.196324521256
2026-03-12 12:30:37.588248+00:00,8900.0,1088.4432282678367,9988.443228267835
2026-03-12 12:31:37.594147+00:00,8900.0,1088.790971351969,9988.79097135197
2026-03-12 12:32:07.571041+00:00,8900.0,1088.3945423934958,9988.394542393497
2026-03-12 12:32:27.267792+00:00,8900.0,1088.3945423934958,9988.394542393497
2026-03-12 12:33:28.575374+00:00,8900.0,1087.9494796313495,9987.94947963135
2026-03-12 12:34:08.375471+00:00,8900.0,1088.9761344477358,9988.976134447736
2026-03-12 12:34:27.317296+00:00,8900.0,1088.9761344477358,9988.976134447736
2026-03-12 12:35:47.478442+00:00,8900.0,1088.6413872834023,9988.641387283402
2026-03-12 12:36:07.940700+00:00,8900.0,1087.67647311783,9987.67647311783
2026-03-12 12:36:28.603301+00:00,8900.0,1086.984513395109,9986.98451339511
2026-03-12 12:36:48.261372+00:00,8900.0,1086.984513395109,9986.98451339511
2026-03-12 12:37:08.617487+00:00,8900.0,1086.4646619916823,9986.464661991682
2026-03-12 12:37:28.262211+00:00,8900.0,1086.4646619916823,9986.464661991682
2026-03-12 12:37:48.586695+00:00,8900.0,1087.121042687203,9987.121042687202
2026-03-12 12:38:22.692181+00:00,8900.0,1086.984513395109,9986.98451339511
2026-03-12 12:38:55.835592+00:00,8900.0,1086.6011912837766,9986.601191283777
2026-03-12 12:39:27.944167+00:00,8900.0,1087.6016844765493,9987.601684476547
2026-03-12 12:39:48.580460+00:00,8900.0,1087.61479132369,9987.61479132369
2026-03-12 12:40:08.267421+00:00,8900.0,1087.61479132369,9987.61479132369
2026-03-12 12:40:29.902684+00:00,8900.0,1088.420704017109,9988.42070401711
2026-03-12 12:41:37.593595+00:00,8900.0,1089.7203064903413,9989.72030649034
2026-03-12 12:42:37.735975+00:00,8900.0,1090.0550536546748,9990.055053654674
2026-03-12 12:43:37.582172+00:00,8900.0,1089.918576433249,9989.918576433249
2026-03-12 12:44:37.652466+00:00,8900.0,1090.0812152782878,9990.081215278287
